StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,open_debrief,pID,cond,debrief_item,debrief_rating
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,easy to understand,2
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,don't know what to do,4
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,ratings reflect preferences,3
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,like task,5
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,trouble focusing,6
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,too fast,5
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,good speed,2
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,NA,NA,NA,NA,anonymous,EN,NA,434970_study2,22,interesting,5
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,easy to understand,6
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,don't know what to do,1
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,ratings reflect preferences,6
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,like task,4
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,trouble focusing,4
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,too fast,5
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,good speed,6
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,NA,NA,NA,NA,anonymous,EN,NA,434974_study2,19,interesting,3
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,easy to understand,6
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,don't know what to do,1
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,ratings reflect preferences,4
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,like task,4
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,trouble focusing,2
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,too fast,6
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,NA,NA,NA,NA,anonymous,EN,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969_study2,31,good speed,4
